month,tweets_published,impressions,engagements,engagement_rate,retweets,likes,user_profile_clicks,follows
2021-01,0,5648,31,0.1431277529792979,0,7,2,0
2021-02,0,20660,344,0.2352039061590919,31,51,29,0
2021-03,0,18734,236,0.2956347617336728,32,29,32,0
2021-04,89,203363,3084,0.4086548952814509,248,566,231,0
2021-05,15,49256,437,0.2396917886646319,46,110,69,0
2021-06,12,44020,426,0.2324527155391497,55,108,29,0
2021-07,40,49018,653,0.4678666794088867,91,170,51,0
2021-08,45,92556,1128,0.4020153265672768,134,279,121,0
2021-09,221,200629,4081,0.6754529553919498,332,883,324,0
2021-10,22,34993,478,0.341619056619674,39,125,58,1
2021-11,4,8458,81,0.191710135600987,9,15,20,0
2021-12,5,12626,124,0.1227325734001977,8,61,12,0
2022-01,6,15657,389,0.5780002227788082,28,108,59,0
2022-02,7,8980,186,0.3976434914891802,22,50,47,0
2022-03,25,34685,648,0.542555710362518,106,188,76,0
2022-04,72,47117,1100,0.6672106936286513,123,315,131,0
2022-05,7,7794,105,0.3214192047414839,8,39,14,0
2022-06,9,13546,164,0.3630239535569434,21,38,19,0
2022-07,20,8336,175,0.7118706333427262,23,51,14,0
2022-08,53,23083,692,0.9202808974013296,53,153,77,2
2022-09,167,90453,2401,0.9531071757796145,158,506,433,11
2022-10,42,18298,442,0.648026373581114,35,109,44,5
