date,impressions,promoted_impressions,engagements,promoted_engagements,retweets,promoted_retweets,replies,promoted_replies,likes,promoted_likes
2021-08-01,205,3739,1,133,0,0,0,0,1,1
2021-08-02,1751,5191,15,170,7,1,0,0,3,0
2021-08-03,2285,2720,26,84,4,0,0,0,4,0
2021-08-04,3119,3056,44,77,5,0,1,0,14,1
2021-08-05,3790,2046,36,63,5,0,0,0,9,1
2021-08-06,677,2770,13,72,0,0,0,0,1,0
2021-08-07,224,2201,4,82,1,1,0,0,1,1
2021-08-08,1740,3698,29,89,3,2,0,0,6,4
2021-08-09,4917,1944,45,63,5,0,4,0,3,0
2021-08-10,821,5045,11,141,2,2,0,0,5,4
2021-08-11,5103,2845,45,92,7,1,0,0,14,1
2021-08-12,2315,2426,19,64,2,0,0,0,4,1
2021-08-13,4644,3106,58,67,4,0,1,0,7,0
2021-08-14,371,5904,2,166,1,1,0,0,0,0
2021-08-15,318,2355,4,57,0,0,0,0,0,0
2021-08-16,5986,3709,38,68,6,0,0,0,6,0
2021-08-17,5452,2264,66,70,9,3,0,0,25,2
2021-08-18,6807,59,68,2,11,0,1,0,19,0
2021-08-19,5162,12054,44,121,9,5,0,0,16,5
2021-08-20,3454,14804,24,133,5,2,0,0,13,7
2021-08-21,943,13617,18,141,2,2,1,0,9,8
2021-08-22,522,12717,13,138,3,3,0,0,10,9
2021-08-23,1974,18438,39,192,4,1,1,1,11,4
2021-08-24,1109,15211,11,135,0,0,0,0,4,3
2021-08-25,3238,12476,49,119,4,3,1,0,12,3
2021-08-26,3194,15984,52,147,9,3,1,0,23,5
2021-08-27,2227,14858,29,177,2,1,1,1,9,4
2021-08-28,458,16293,2,185,0,0,0,0,2,2
2021-08-29,245,17723,7,191,1,1,0,0,5,5
2021-08-30,374,2337,7,25,1,0,0,0,4,0
2021-08-31,19131,0,309,0,22,0,1,0,39,0
2021-09-01,15323,0,166,0,8,0,1,0,21,0
2021-09-02,13948,0,168,0,9,0,2,0,23,0
2021-09-03,3863,0,87,0,5,0,4,0,19,0
2021-09-04,936,0,19,0,0,0,0,0,3,0
2021-09-05,641,0,16,0,1,0,0,0,0,0
2021-09-06,1294,19244,49,681,10,3,1,0,14,6
2021-09-07,3638,17926,94,624,5,1,4,0,24,2
2021-09-08,5523,19367,202,703,17,3,7,0,35,5
2021-09-09,4481,35951,118,1328,13,4,7,0,24,7
2021-09-10,4427,33074,92,1053,10,1,9,0,14,4
2021-09-11,1254,42808,24,1669,3,2,0,0,5,4
2021-09-12,1797,40421,40,1418,5,2,5,1,11,6
2021-09-13,7222,38001,240,1159,22,3,7,0,54,3
2021-09-14,12004,19386,300,601,16,0,9,0,76,3
2021-09-15,10456,14915,314,469,20,0,5,0,73,1
2021-09-16,6215,17832,118,594,10,0,4,0,30,3
2021-09-17,4896,17772,105,572,13,3,2,0,23,3
2021-09-18,2846,12946,81,432,12,0,4,0,17,2
2021-09-19,1199,11831,26,427,0,0,0,0,0,0
2021-09-20,20111,25107,279,847,44,3,2,0,87,7
2021-09-21,9589,13601,143,397,16,1,4,0,24,1
2021-09-22,8845,15530,229,527,20,1,12,0,55,2
2021-09-23,8540,15225,214,486,13,0,8,0,49,2
2021-09-24,6255,19222,160,658,8,2,4,0,35,6
2021-09-25,1713,20003,35,777,3,1,0,0,5,3
2021-09-26,1241,13080,18,481,1,0,0,0,1,0
2021-09-27,5840,16966,148,643,7,0,3,0,29,0
2021-09-28,8534,17534,161,535,11,0,4,0,34,2
2021-09-29,12478,14587,298,529,20,2,15,0,66,1
2021-09-30,15520,2420,137,53,10,0,2,0,32,0
2021-10-01,8946,0,112,0,11,0,4,0,26,0
2021-10-02,1243,0,10,0,0,0,0,0,0,0
2021-10-03,1439,0,16,0,2,0,0,0,1,0
2021-10-04,3118,0,39,0,4,0,0,0,19,0
2021-10-05,1344,0,12,0,1,0,0,0,3,0
2021-10-06,944,0,23,0,0,0,0,0,1,0
2021-10-07,1227,0,4,0,0,0,0,0,1,0
2021-10-08,647,0,6,0,0,0,0,0,1,0
2021-10-09,313,0,0,0,0,0,0,0,0,0
2021-10-10,330,0,3,0,0,0,0,0,1,0
2021-10-11,3374,0,91,0,6,0,2,0,26,0
2021-10-12,2125,0,49,0,3,0,1,0,7,0
2021-10-13,102,0,0,0,0,0,0,0,0,0
